	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Vwa3a	0.655981782773264	-0.383972092859234	1.24114297363775	-0.309369751120472	0.757040277615015	0.840572561969436
Reck	2.28996966282367	0.16243144944838	0.525386874324011	0.309165411978311	0.757195703112716	0.840687982544995
Gask1a	2.65634784425757	-0.228049139759638	0.737824596171831	-0.309083135670537	0.757258287317632	0.840700315986103
Tefm	48.4410367542543	-0.0424761548187492	0.137478288804243	-0.308966275243878	0.75734718097557	0.840741854247757
Pcsk6	0.852555154387328	-0.382009345078697	1.23680838327782	-0.308867040556667	0.757422669565558	0.840768506718188
Unc119b	254.673279685151	-0.0247082027302645	0.0800388034943374	-0.308702799786513	0.757547613866406	0.840834013706899
T2	5.10516226171115	0.171147544612803	0.554496232408398	0.308654116312822	0.75758465048353	0.840834013706899
Eif4g3	299.72983574078	0.0271487770910809	0.0879901377913348	0.308543409210964	0.75766887449399	0.840870349159815
4930592C13Rik	0.925995640110918	-0.26483564602668	0.859336244634913	-0.308186286427607	0.757940586813161	0.841057593683417
Gm53223	0.608881336596603	0.346271733742588	1.12353379799597	0.308198769240613	0.757931088919359	0.841057593683417
Bend6	7.25167389746352	-0.141353663008292	0.459034064634738	-0.307937196601673	0.758130121339479	0.841210757640897
Gm26710	0.678878515060351	0.356935544573518	1.16154654481038	0.307293363462922	0.758620086673975	0.841640055401085
Gm53876	1.07278981152368	0.255291905700342	0.830738031929734	0.307307353086171	0.758609439358945	0.841640055401085
Gm42245	0.678387065678703	0.347309161067514	1.13147462219499	0.30695267419587	0.758879394841436	0.841870552679686
Gm42221	0.617467979132594	-0.385733327307997	1.26001707214856	-0.306133413454669	0.759503068158959	0.842499502173294
Zdhhc17	69.2589413059756	-0.0385586979596605	0.125979006122175	-0.306072409574863	0.759549514450133	0.842499502173294
Pdcd2l	79.4607032233284	-0.0373971289277227	0.122263524514594	-0.305873146354937	0.759701232769467	0.842553343310534
Apoo-ps	11.9109137652123	0.120275786845567	0.39315416667387	0.30592525029841	0.759661560115878	0.842553343310534
Plpp5	49.7743694511668	0.053749247085931	0.175850155813019	0.305653679050944	0.759868345108975	0.842624240380213
Mrps7	110.378129098574	-0.0420044041747672	0.137401021875461	-0.305706635958207	0.759828020296235	0.842624240380213
Optn	138.202809388673	0.0449687484047769	0.147318228687558	0.305249043552849	0.760176482275983	0.842908704496664
Cyren	13.7230416516084	0.0752825252762361	0.247032813015628	0.304747067230594	0.760558799113607	0.843275377265678
Lins1	34.4504987806616	0.0520819733417709	0.170945977981015	0.304669194074604	0.76061811436257	0.843283894085229
Gm18649	1.1045158308196	-0.311292514307088	1.02307957538705	-0.304270089830813	0.760922130384975	0.843563686766727
Mrps31	123.679558822698	0.0370715289718989	0.121917459384503	0.304070714391962	0.761074017640213	0.84367480188013
Cpeb2	35.4312880192059	0.0636071957832395	0.209431807483175	0.303713158701309	0.761346432089169	0.843862227952515
Epn2	142.422816334434	-0.0326535695583656	0.107493961323092	-0.303771199390631	0.761302210049662	0.843862227952515
Pcyt2	132.092154903253	0.0402694699215549	0.132785142885327	0.303267888609582	0.761685715723374	0.844180992752045
Fnbp4	231.597354708441	-0.0333155476541559	0.109940260392448	-0.30303318852649	0.761864569213119	0.844321920634366
Bloc1s6	137.321617341424	-0.0260215192620812	0.085914633999114	-0.302876448991793	0.761984019855109	0.844397001782714
Fmo5	1.6194447084585	-0.220455532462532	0.728542215874444	-0.302598157881527	0.762196118491404	0.844460145661869
Gm13231	0.678536842393798	0.342761570027974	1.13260747244704	0.302630503829739	0.762171465217793	0.844460145661869
Gm38561	10.7860628465854	-0.0886718066635546	0.293024565900149	-0.302608780909415	0.762188021858336	0.844460145661869
Pde12	81.3499960023105	0.0365950405339642	0.120970955834668	0.302510964565568	0.762262576260313	0.844476488636782
Arhgap10	251.075011329591	0.0356011783472188	0.117769264098595	0.302296007533969	0.762426421589246	0.844576334182491
Gnl3	524.825683187953	-0.0277566036981356	0.0918311249647389	-0.302257036585292	0.762456127307534	0.844576334182491
Sap30l	85.4391586354686	-0.0372226599524459	0.123306083012705	-0.301872049156006	0.762749603884525	0.844844118727844
Nos1ap	0.519019828438908	-0.380865798748011	1.26247575508179	-0.301681673659812	0.762894740057627	0.84494757185821
Reep6	181.620217542834	-0.0317892944145369	0.10540083793093	-0.301603811113613	0.762954102367973	0.844956018164626
Htr1b	2.58968986083166	0.161898033754341	0.537499711470031	0.301205805881383	0.763257562840604	0.845234778703061
Tmsb15l	0.528451936220809	-0.385810540660058	1.282959646968	-0.300719154785453	0.76362866109417	0.845588398738218
Gm11222	0.572575127430409	-0.391229725517813	1.30176876072823	-0.300537036469482	0.763767550306782	0.845684856380364
Lyrm1	6.20343175232074	0.114444562488712	0.381038738158728	0.300348891143551	0.763911043892195	0.845786398810069
Colgalt2	2.14126551459778	-0.1889755279505	0.629929635684001	-0.299994661697895	0.764181227552111	0.845970840397281
Slc30a6	60.055836063203	-0.0379679592454844	0.126550701802249	-0.300021720186222	0.764160588047324	0.845970840397281
Saxo2	3.11092248171568	-0.191474984892859	0.638990270933862	-0.299652426026808	0.764442290396302	0.846202486563128
Rassf2	8.25691956242945	-0.102658460010758	0.342961291286516	-0.299329582139331	0.764688585419464	0.846401806242603
Polr2d	81.6205654499033	0.0419544590383636	0.140184386943383	0.299280540102572	0.764726001280667	0.846401806242603
Gm9710	1.79786266788684	-0.368046045499696	1.23064253052981	-0.299068199228614	0.764888009792063	0.84646706278558
Vmn2r38	4.16501279144534	-0.157054944120913	0.525148990386	-0.299067401815765	0.764888618209013	0.84646706278558
Togaram1	104.722656759256	0.0393486337200137	0.131640482584931	0.298909825817655	0.765008849753425	0.846542755889487
